"","N","sample_size","event_p","noise_sd","bias_OR","EVPIv1","EVPIv2","EVPIv3","EVPIv4","NB_model1","NB_model2","NB_model3","NB_model4","NB_all1","NB_all2","NB_all3","NB_all4","auc","prev"
"26",100,250,NA,1,NA,0.00105772,0.00237625777777778,0.00108549411764706,0.00150474,0.103037894736842,0.0664355555555555,0.0416329411764706,0.02375,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.670840678111157,0.154425259357764
"27",100,250,0.05,NA,NA,0.00255261684210526,0.00156676444444444,0.000556327058823529,0.00056991,0.113888421052632,0.0820133333333333,0.0580611764705882,0.04131,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.0499999999999999
"28",100,250,0.1,NA,NA,0.000596863157894736,0.000438342222222223,0.0021403505882353,0.00308686,0.113888421052632,0.0820133333333333,0.0580611764705882,0.04131,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.0999999999999998
"29",100,250,0.25,NA,NA,0.000786442105263158,0.00197897333333333,0.00294486117647059,0.00217809,0.113888421052632,0.0820133333333333,0.0580611764705882,0.04131,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.25
"30",100,250,0.5,NA,NA,0.00014586105263158,0.000157995555555557,0.000103715294117647,0.00010123,0.113888421052632,0.0820133333333333,0.0580611764705882,0.04131,0.111410526315789,0.0620444444444445,0.00687058823529411,-0.0552,0.744020903156727,0.5
"31",100,500,NA,NA,1,0.000459457894736843,0.000198188888888889,8.1317647058823e-06,5.97349999999997e-05,0.114941052631579,0.0820933333333333,0.0578835294117647,0.03963,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.155484696703854
"32",100,500,NA,NA,1.5,0.000286586315789473,9.1391111111111e-05,3.11776470588235e-05,0.00040535,0.114291578947368,0.0798244444444445,0.0543305882352941,0.03526,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.155484696703854
"33",100,500,NA,NA,2,0.000198544210526315,6.30355555555548e-05,0.000136576470588235,0.00153843,0.113422105263158,0.0761333333333333,0.0470658823529412,0.0252,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.155484696703854
"34",100,500,NA,NA,2.5,0.000116381052631579,4.63288888888885e-05,0.000406149411764706,0.002732035,0.112742105263158,0.07312,0.0399529411764706,0.01492,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.155484696703854
"35",100,500,NA,NA,3,5.67063157894739e-05,5.47422222222226e-05,0.000755060000000001,0.00302734,0.112291578947368,0.0705977777777778,0.0346011764705882,0.005065,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.155484696703854
"36",100,500,NA,NA,3.5,2.23747368421051e-05,5.21199999999994e-05,0.00116826117647059,0.002929455,0.112105263157895,0.0690422222222222,0.0301364705882353,-0.00332,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.155484696703854
"37",100,500,NA,NA,4,1.15042105263156e-05,7.54111111111115e-05,0.00165379176470588,0.00259073,0.111883157894737,0.0676066666666667,0.0261929411764706,-0.010465,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.155484696703854
"38",100,500,NA,0.25,NA,0.000517739999999999,0.000233666666666667,7.80117647058782e-06,5.768e-05,0.114578947368421,0.0806155555555556,0.0565705882352941,0.03889,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.735802625495271,0.155484696703854
"39",100,500,NA,0.5,NA,0.00076086,0.000586926666666666,3.95647058823532e-05,0.000111715,0.112722105263158,0.0771466666666667,0.0520670588235294,0.034395,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.717867827581679,0.155484696703854
"40",100,500,NA,0.75,NA,0.000877793684210526,0.00106416888888889,0.000145302352941176,0.00027477,0.109243157894737,0.0723622222222222,0.0459317647058823,0.02944,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.695361105159648,0.155484696703854
"41",100,500,NA,1,NA,0.00075198,0.00149895555555555,0.000313483529411764,0.000552415,0.104386315789474,0.0668955555555556,0.0409117647058823,0.02361,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.67351371389865,0.155484696703854
"42",100,500,0.05,NA,NA,0.00112399263157895,0.000513206666666667,8.39505882352941e-05,4.838e-05,0.114941052631579,0.0820933333333333,0.0578835294117647,0.03963,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.0499999999999999
"43",100,500,0.1,NA,NA,0.000179661052631579,4.27733333333336e-05,0.000851901176470588,0.002129845,0.114941052631579,0.0820933333333333,0.0578835294117647,0.03963,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.0999999999999998
"44",100,500,0.25,NA,NA,0.000566298947368419,0.00138284888888889,0.00184777294117647,0.00063065,0.114941052631579,0.0820933333333333,0.0578835294117647,0.03963,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.25
"45",100,500,0.5,NA,NA,0.000183049473684209,3.47111111111104e-05,1.31764705881832e-07,0,0.114941052631579,0.0820933333333333,0.0578835294117647,0.03963,0.111515789473684,0.0621555555555555,0.00698823529411764,-0.055075,0.743319225859884,0.5
"46",100,1000,NA,NA,1,0.000239184210526317,2.74877777777784e-05,2.11764705882397e-07,2.16749999999991e-06,0.115530526315789,0.0824822222222222,0.0584488235294118,0.041185,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.155238190476082
"47",100,1000,NA,NA,1.5,0.000197461578947368,5.36777777777803e-06,3.58823529411807e-07,6.10024999999999e-05,0.11444,0.0802711111111111,0.0546229411764706,0.03654,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.155238190476082
"48",100,1000,NA,NA,2,0.000102404736842106,3.4744444444447e-06,5.15529411764713e-06,0.0003495975,0.113962631578947,0.0765944444444444,0.0471276470588235,0.0261325,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.155238190476082
"49",100,1000,NA,NA,2.5,0.000103589473684211,6.0266666666671e-06,3.0260588235294e-05,0.0013083975,0.113339473684211,0.0732466666666667,0.0408347058823529,0.0150125,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.155238190476082
"50",100,1000,NA,NA,3,8.391947368421e-05,1.15222222222221e-05,0.000122995882352941,0.0021462375,0.113004210526316,0.0708055555555556,0.0348694117647059,0.0054225,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.155238190476082
"51",100,1000,NA,NA,3.5,3.172947368421e-05,1.8642222222222e-05,0.000257200588235294,0.00238508,0.112825789473684,0.0692,0.0304347058823529,-0.0024825,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.155238190476082
"52",100,1000,NA,NA,4,1.78405263157892e-05,2.12377777777779e-05,0.000472332941176471,0.0020534825,0.112636842105263,0.0679411111111111,0.026335294117647,-0.00942,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.155238190476082
"53",100,1000,NA,0.25,NA,0.000319682631578948,4.0397777777777e-05,7.64705882352890e-09,7.41000000000006e-06,0.114811578947368,0.0811044444444444,0.0573311764705882,0.0394875,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.736920950942703,0.155238190476082
"54",100,1000,NA,0.5,NA,0.000582315263157896,0.000177206666666667,3.35882352941221e-07,9.43499999999995e-06,0.113026842105263,0.0778477777777778,0.0523988235294118,0.0345325,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.718057066317788,0.155238190476082
"55",100,1000,NA,0.75,NA,0.000583552631578948,0.000517948888888888,3.43941176470564e-06,4.10000000000001e-05,0.109718421052632,0.0726377777777778,0.0467294117647059,0.028335,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.694693958539463,0.155238190476082
"56",100,1000,NA,1,NA,0.000222838421052632,0.00118215111111111,2.35841176470589e-05,9.16125e-05,0.104503157894737,0.06644,0.0409417647058824,0.022735,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.671746959893233,0.155238190476082
"57",100,1000,0.05,NA,NA,0.000413696315789474,0.000115894444444444,5.77999999999999e-06,1.7425e-06,0.115530526315789,0.0824822222222222,0.0584488235294118,0.041185,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.0499999999999999
"58",100,1000,0.1,NA,NA,3.2578947368421e-05,1.19333333333336e-06,0.000228840588235294,0.0011269525,0.115530526315789,0.0824822222222222,0.0584488235294118,0.041185,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.0999999999999998
"59",100,1000,0.25,NA,NA,0.000445856315789473,0.000945460000000001,0.00109827882352941,9.10024999999995e-05,0.115530526315789,0.0824822222222222,0.0584488235294118,0.041185,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.25
"60",100,1000,0.5,NA,NA,4.06726315789452e-05,2.44444444441605e-08,0,0,0.115530526315789,0.0824822222222222,0.0584488235294118,0.041185,0.112221052631579,0.0629,0.00777647058823528,-0.0542375,0.744806905431252,0.5
